offerPrice,egc,html,highTech,age,nUnderwriters,sharesOfferedPerc,totalProceeds,investmentReceived,commonEquity,nasdaq2weeksBefore,blueSky,managementFee,commonEquity.1,bookValue,totalAssets,totalRevenue,netIncome,roa,leverage,vc,pe,prominence,nVCs,nExecutives,priorFinancing,reputationLeadMax,reputationLeadAvg,reputationSum,reputationAvg,nPatents,year>good_return,year>super_return,interaction>super_return_w_reputationAvg,log_age,city>super_return,city>good_return,city>low_return,"industryFF12>Business Equipment -- Computers, Software, and Electronic Equipment",industryFF12>Chemicals and Allied Products,"industryFF12>Consumer Durables -- Cars, TV's, Furniture, Household Appliances","industryFF12>Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",industryFF12>Finance,"industryFF12>Healthcare, Medical Equipment, and Drugs","industryFF12>Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing","industryFF12>Oil, Gas, and Coal Extraction and Products",industryFF12>Other,industryFF12>Telephone and Television Transmission,industryFF12>Utilities,"industryFF12>Wholesale, Retail, and Some Services (Laundries, Repair Shops)",exchange>AMEX,exchange>NASDQ,exchange>NYSE,"industryFF5>Business Equipment, Telephone and Television Transmission","industryFF5>Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)","industryFF5>Healthcare, Medical Equipment, and Drugs","industryFF5>Manufacturing, Energy, and Utilities",industryFF5>Other,rf>IT,rf>indebtedness,rf>reimbursement,rf>default,rf>trial,rf>patRatio,log_totalAssets,log_totalRevenue,log_priorFinancing,log_reputationSum
16.0,False,False,True,2.0,11,29.02,66400000,31806.0,-0.494,2837.26,5000.0,913000.0,90.56,74.6417155,93.586,19.182000000000002,-22.39,-0.23924518624580604,0.0956873891394012,True,False,True,8.0,9.0,31806.0,9.001,9.001,77.508,7.046181818181817,0,0,1,7.046181818181817,1.0986122886681098,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.10505805148914688,7.128508921504277,6.117718189421773,10.367441670330306,4.363200530423833
19.0,True,True,False,16.25621727748691,3,33.37,64600000,308621.8169611742,0.10400000000000001,7995.17,12705.26168224299,2628172.987119558,100.0,88.46647920000002,770.5110000000001,48.131,25.0,0.032446000121996964,0.0,False,False,False,3.010421723425372,10.906086193013326,173364.5952753267,7.001,7.001,14.002,4.667333333333334,0,1,0,0.0,2.308524725767227,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.11548619447779113,0.0,0.0,7.562131059530592,6.179554772033944,12.06315791115852,2.7081835255474447
16.0,False,True,False,6.0,7,20.11,27200000,298998.8394712508,0.055,2166.86,12705.26168224299,2485418.926205484,35.1,63.2723485,784.518,43.043,4.541,0.005788267445743757,0.1503241480756337,False,False,False,2.9828796296445526,10.86718383387529,165059.28307884466,7.001,7.001,39.007,5.5724285714285715,0,0,0,0.0,1.9459101490553128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,7.569385053681371,6.168959815022403,12.014066038150927,3.6890544388032223
23.0,False,True,False,2.0,5,17.67,209090700,400000.0,0.33,2061.84,12705.26168224299,2909088.0,39.58,637.1992998000002,1918.703,180.08,51.206,0.02668781984496819,0.560667284097643,False,True,False,1.0,8.0,400000.0,9.001,8.501,26.003,5.2006,0,0,0,0.0,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.25035739814152963,0.0,0.2062902072909221,0.0,0.0,8.030127446504212,6.421176579381183,12.899222326086994,3.295947970943058
15.0,False,False,True,5.0,15,7.02,80370000,14500.1,0.23600000000000002,3767.91,15000.0,1125180.0,99.93,6.9532372,46.5,81.375,13.07,0.2810752688172043,0.002365591397849462,True,False,True,6.0,20.0,14500.1,9.001,9.001,95.01299999999999,6.3342,7,0,1,6.3342,1.791759469228055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,7.090018651548263,6.246147390025723,9.58197978760025,4.564483598966493
5.0,False,False,True,21.0,12,24.81,16500000,289265.0493363375,-0.24,2573.39,12705.26168224299,264000.0,53.07,36.2459401,60.943999999999996,73.38600000000001,13.28,0.2179049619322657,0.0004266211604095563,False,False,False,4.264087822894355,11.817149772910156,121371.85259998299,3.0010000000000003,3.0010000000000003,47.967,3.99725,0,0,1,3.99725,3.0910424533583165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.019285832277958263,0.0,0.0,0.0,0.0,7.101984145675735,6.230544364281436,11.706622513160971,3.891146601840492
10.0,False,False,False,7.0,2,26.66,17000000,-17811.614126313478,0.435,990.21,15000.0,238000.0,66.6,9.119182400000001,17.203,60.027,3.1860000000000004,0.1852002557693426,0.011916526187292909,True,False,False,1.0,3.0,30908.83470446366,6.001,6.001,13.376,6.6880000000000015,0,0,0,0.0,2.079441541679836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.065300061712372,6.203896862789372,10.338829687472384,2.6655601494812577
16.0,True,True,True,15.0,4,10.5,159999984,518613.4,-1.91,3579.6,12705.26168224299,2119579.9963388476,95.78,366.718539,469.472,23.76,-38.98,-0.08302944584554563,0.003606178856247018,True,False,False,7.0,19.0,518613.4,0.0,0.0,0.0,0.0,40,1,0,0.0,2.772588722239781,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.03954298476615887,0.0,7.3919712951855026,6.127755172930644,13.158915918766379,0.0
16.0,True,True,True,9.0,7,15.71,96000000,135999.9,-1.4340000000000002,5259.48,12705.26168224299,1875295.03338602,99.87,71.5693784,194.782,160.569,-31.553,-0.1619913544372683,0.0004825907938105164,True,False,True,13.0,5.0,135989.9,9.001,6.4007999999999985,32.004,4.572,7,0,0,0.0,2.302585092994046,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,7.206534683356872,6.388922622131977,11.82034325071479,3.4966287662420967
14.0,False,False,True,8.0,17,12.61,46718000,46839.0,-1.2819999999999998,2858.16,10000.0,667400.0,96.69,-61.857324,31.368000000000002,21.413,-15.261,-0.4865149196633512,0.05614001530221883,True,False,True,11.0,15.0,46839.0,9.0,9.0,118.26100000000001,6.956529411764707,0,0,1,6.956529411764707,2.19722457733622,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.018691958111045247,7.077327727636584,6.122622105301343,10.754492817711654,4.781314368700892
